Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
35278fa7-6baa-3867-025e-69dbc2ce28df,2015-05-06,,999-97-3764,,,,Domonique463,Arminda86,Zieme486,,,,white,nonhispanic,F,Spencer  Massachusetts  US,205 Gutmann Rue,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.962919132164174,-71.01603195481037,23919.14,0.00,79805
511a4569-d2c5-4904-13ce-d784c524e329,1985-12-22,,999-61-5384,S99948498,X12146547X,Mr.,Shelby741,Tuan998,Jacobson885,,,S,white,nonhispanic,M,West Springfield  Massachusetts  US,301 Smitham Throughway,Westfield,Massachusetts,Hampden County,25013,01086,42.172296826758334,-72.80295632934634,44915.07,137710.17,105521
7463d541-45f0-112d-30c3-41ff2c94e393,2019-03-19,,999-32-9821,,,,Tommy814,Lachelle614,Paucek755,,,,white,nonhispanic,F,Devens  Massachusetts  US,390 Cronin Corner,Chicopee,Massachusetts,Hampden County,25013,01022,42.213553553618326,-72.60048546306002,1335.71,12627.36,16457
fa0194b3-a759-8b30-83a6-d7c07f5a6641,1994-05-09,,999-12-9851,S99936237,X39790655X,Mr.,Michael441,,Doyle959,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,656 Glover Landing Suite 20,Sudbury,Massachusetts,Middlesex County,,00000,42.34663712426905,-71.46965576148905,73154.42,3642.94,161929
c4d282da-d4e9-f048-cb6f-5f4bd0b78c08,2010-08-19,,999-67-1094,,,,Yon80,Gillian484,Koss676,,,,white,nonhispanic,F,Yarmouth Port  Massachusetts  US,695 Hartmann Crossing Unit 83,Plymouth,Massachusetts,Plymouth County,25023,02360,41.836787608935694,-70.59505560120463,43195.92,1934.71,82590
ad0ad730-ddec-0891-cf3d-36c40f3a584b,2003-07-04,,999-87-2798,S99947293,X39911100X,Mr.,Michal596,Arturo47,Ondricka197,,,,white,nonhispanic,M,Easton  Massachusetts  US,124 Reynolds Throughway,Mashpee,Massachusetts,Barnstable County,,00000,41.639796124934584,-70.52021854787996,39996.34,67810.38,194025
7363e678-597c-deb2-f7e3-79bb24d561f9,1982-08-03,,999-71-6841,S99917546,X45427793X,Mr.,Filiberto722,Benny518,Mayert710,,,W,white,nonhispanic,M,Franklin  Massachusetts  US,400 Becker Green,Newton,Massachusetts,Middlesex County,25017,02460,42.31283272070709,-71.19902335117925,6836.98,82887.30,9288
cb9271bb-c823-e655-a39b-eeaa02feb653,1981-10-15,,999-51-6562,S99983344,X44273605X,Mrs.,Dena356,Madaline59,Fisher429,,Renner328,D,white,nonhispanic,F,Norwell  Massachusetts  US,863 Pfannerstill Village Suite 21,Lowell,Massachusetts,Middlesex County,25017,01851,42.63898443302255,-71.29636870033542,133855.64,437808.05,29908
c4fcc3c2-6646-df2e-c440-912d4c3ed42f,1970-03-25,,999-93-2870,S99933457,X57138643X,Mr.,Enoch803,,Corwin846,,,D,white,nonhispanic,M,Sandisfield  Massachusetts  US,406 Rau Mews,Plymouth,Massachusetts,Plymouth County,25023,02360,41.83647841393262,-70.64041941277803,164548.21,17275.06,155743
fd303c7f-c708-ac2f-ef6a-1a3b4ea933fd,1978-05-19,,999-20-9025,S99989755,X72162510X,Mrs.,Towanda270,Cira533,Pouros728,,Anderson154,M,white,nonhispanic,F,Norton  Massachusetts  US,197 Hoppe Ramp Apt 0,Gloucester,Massachusetts,Essex County,25009,01930,42.59958403561482,-70.66486164980437,430113.45,826681.40,62177
